type,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post11,post12,post13,post14,post15,post16,post17,post18,post19,post20,post21,post22,post23,post24,post25,post26,post27,post28,post29,post30,post31,post32,post33,post34,post35,post36,post37,post38,post39,post40,post41,post42,post43,post44,post45,post46,post47,post48,post49,post50
ISTJ,mathematics playing saxophone anime learning japanese collecting sock laughing,,,welcome cool,,,buy alarm clock tonight,,,,,,,,,,,,,,x men always make god image x xenophanes x ox could paint picture god would look like ox x xenophanes,,scored masculine feminine androgynous point male,moved,reading physic learning draw listening good music watching old movie,dad mom unknown probably haha,,score put category high mach people belive goodness world must manipulated people,,,,,,aries sign compatible libra ninja,,,,,mechanical engineering ultimately going choose electrical route found mechanical diverse,ahha made dad take personality test scored laughing wonder,,suggest live life quit worrying much know feel deeply like said guy keep going circle maybe try expert something,,,,say time stolen spend preciously better work hard continue worry whatever finish hell procrastinate,paranoiddisorder,moderate schizoiddisorder,high schizotypaldisorder,low antisocialdisorder
ISTJ,probably mind much go although usuaully much fun party enjoy party start trying get driver leave early,gale,peeta,te si thinking type roll f si te fi ne te si ne fi,te fi se significant amount te least amount fi function would te ni se fi te si ne fi,display fe ti fe ne could ti ne si fe ne ti fe si,te ni se fi ni te fi se ni te fi se se fi te ni,si fe,ti si ne fe function likely dominant introverted sensing si auxiliary extraverted feeling fe tertiary introverted thinking ti inferior,fe se ni ti function guessing,say inferior fe mean type dominant introverted thinking ti auxiliary extraverted intuition ne tertiary introverted sensing,say inferior fe function ti ni se make type,introverted thinking ti function primarily used inward extraverted thinking te deal primarily understanding organizing external world introverted feeling fi,think dominant introverted thinking ti auxiliary extraverted intuition ne tertiary introverted sensing si inferior extraverted feeling fe,case thing left think scored extravert got depressed became introvert thats got,say dominant introverted thinking ti auxiliary extraverted sensing se tertiary introverted intuition ni inferior extraverted feeling fe,one two dominant extraverted sensing se auxiliary introverted feeling fi tertiary extraverted thinking te inferior introverted intuition ni,dominant extraverted intuition ne auxiliary introverted thinking ti tertiary extraverted feeling fe,dominant introverted thinking ti auxiliary extraverted intuition ne tertiary introverted sensing si inferior extraverted feeling fe,dominant extraverted sensing se auxiliary introverted feeling fi tertiary extraverted thinking te inferior introverted intuition ni,dominant introverted feeling fi auxiliary extraverted intuition ne tertiary introverted sensing si inferior extraverted thinking te,almost sure dominant introverted feeling fi auxiliary extraverted intuition ne tertiary introverted sensing si,say type dominant extraverted intuition ne auxiliary introverted thinking ti tertiary extraverted feeling fe,friend dominant extraverted intuition ne auxiliary introverted thinking ti tertiary extraverted feeling fe,neither see inferior ne mean extraverted thinking te narrow dominant introverted sensing si,dominant introverted thinking ti auxiliary extraverted intuition ne tertiary introverted sensing si inferior extraverted feeling fe thats inferior extraverted,think dominant introverted thinking ti auxiliary extraverted intuition ne tertiary introverted sensing si,say dominant extraverted intuition ne auxiliary introverted feeling fi tertiary extraverted thinking te,dominant function according jung people use four cognitive function however one function generally used conscious confident way dominant function supported,dominant extraverted sensing se auxiliary introverted thinking ti tertiary extraverted feeling fe inferior introverted intuition ni,think dominant extraverted intuition ne auxiliary introverted thinking ti tertiary extraverted feeling fe,probably dominant introverted feeling fi auxiliary extraverted intuition ne tertiary introverted sensing si inferior extraverted thinking te,one two function dominant extraverted intuition ne auxiliary introverted thinking ti tertiary extraverted feeling fe,based added discriptions say function dominant introverted feeling fi auxiliary extraverted intuition ne tertiary introverted,type function dominant introverted thinking ti auxiliary extraverted intuition ne tertiary introverted sensing si inferior extraverted feeling fe,type dominant extraverted intuition ne auxiliary introverted thinking ti tertiary extraverted feeling fe inferior introverted sensing si,one dominant introverted thinking ti people introverted thinking want world make sense logical manner form,mean dominant introverted feeling fi people introverted feeling tend quest figure want life ideally,either,look like maybe link help personality,personality,either,cognitive learning style e first continuum reflects generically energizes person extraverted type learn best talking interacting others interacting,e extravert characteristic n intuitive characteristic theoretical thinking characteristic driven thought,hunter x hunter anime universe enhancer emitter transmuters manipulator,personality tend following characteristic strong awareness environment prefers concrete practical,,type,type,introvert fewer friend f feeling dislike conflict j judging organized scheduled either
ISTJ,tatoe arashi ga hukou tomo tatoe oonami areru tomo kogidasou tatakai umi tobikomou tatakai uzu mitsumeau hitomi hitomi nukumori wo shinjiau go nin nakama welcome,ever decided bring issue think boyfriend gonna make feel real bad snooping save face embarrassing moment probably hunch,high assumed,much theory like pot head,nd st born male last born uknown,relation benefit psychological personality type relation asymmetrical one partner called benefactor always,topic threat mercer get around people like try push away light cig athena many kid ya got,finally caught online topic come mr predictable title list,tolerate everything completely random time future thing party,whenever put hand top someone shoulder involuntarily squeal come please hurt,bothered look hanging picture wall slightly tilting left,bull type,cognitive process level development preference skill frequency use extraverted sensing se limited use,lol laughing mostly yeah,meet someone new conversation go standstill asking basic,think still married mature sensible know problem guy falling wondering anti social robotic,mellow infidel kill,sj hater,sjs solve wha,stop resistance insubordination submit demand oh sorry nevermind,proud history well let say parent controlling must obey want matter ridiculous would take away something much,spending necessity wait great opportunity get want,expect say somethin dontcha laughing ya guy made smirk moment readin yar reply blushed go state normally fact remember,everyone different personality say forum wondering outside virtual world get much attention mellow,mellow,intolerant shallow behavior,certified public accountant,rare never weird highly valued know one girl supply nitro glycerin need chem lab oh sorry going topic,belief showing emotion exposing weakness belief conditioned mind control emotional outburst think conditioning overdone feel le likely get,high expectation subordinate perform way better strike one reprimanded strike two deserve suspension strike three step,exxp type interested s forum encounter ya real life sense ya think mute loner wanna,dislike gambling especially control odds favor buy minimum emotional stock observe stock gonna multiply go bankrupt certain amount,shadow type ninja sorry asian comprehend much western lingo unless google available laughing mean like bipolar schizophrenic guess agree,thanks bull btw truth le interesting laughing laughing laughing,would take reveal feeling wow know lemme tell ya story high school girl behind line order food,time painfully slow time mellow na get back together time,never married kid born probably stick marriage matter unhappy oh wait option country divorce,umm ahh err oh nevermind,better salary blackwater,umm wanna rude part enters picture abab talk,everyone seems get awkward atcha,consuming coconut juice every lunch past month repetitive behavior common among u,try proud,topic s best friend talk time ridiculing people smartlessness never get old laughing,kid get bored atcha,well far experience gone matter irrational pointless sermon arguing cause tension better zip walk away,topic nothing get used,bloody serious mellow timing inquiry bloody essential,athena interesting info laughing,probably order shoot plane around people inside order save thousand
ISTJ,retire account come back get back way without losing account permanently,namaste even mean sure anyone tell answer find,rune right feel fear afraid know past month new unknown right fear unknown probably,,ever feel happy wish happiness deserve happy,never good goodbye mom passed away took hard moved resented dying even though sick fault blamed,hard time walking away want even friend better nothing trust anymore sure trust either,reach gabrielle,,definitely recommend using origin going sister swapping turn buying expansion stuff pack never issue pick one account,cosplaying friend mine philipines got music video excited yay,use mean keep friend family believe people used keep touch invention facebook internet know sound,think possible addicted internet becomes problem spend every waking moment using internet research tool way let steam,feel like got friend house friend feel place every single one think kind stuck prude like,fun playing today since able play game really worried stuff much lately check email couple,daydream people usually attempt working conversation may may person want person talked marty,satisfaction gaining another level skyrim main character save game trepidation private message sent last night earlier morning happiness accepted friend,offline day two tongue seriously though go convention like dragon con atlanta cosplay literally wear normal,mad world darkestblue interesting come find dubstep remix mad world listened,rune hug athazagoraphobia phobia lonely well fear literally cause push people away get,hug think mr meepers name hard mention said everything need said wanted throw hug tongue,say good bye someone care deeply pas away move jerk causing problem made choice easy still,wow going happy,well music listening right sure would might appreciate older game,sometimes wonder meant alone,feel like betraying someone make wrong choice second guess made bed lie still feel like betraying someone though,every sad song find youtube girl care tell goodbye making thing awkward feeling feeling,get lost quite often always taking walk,sigh done,koukol curse four light video signature spent three hour looking youtube video thanks hour half watching star trek god,person care speak language respond mean like,friend said according wrong expect get ok context saying asked wrong want friend,heck know remake middle night chaotic sound like live version concert kind sucked glad,find lack faith disturbing,could settle right girl care say ready settle wanted settle would heartbeat,matter apparently,heard good thing dating want try dating material guess sad,know personal experience girl care act similar since tell felt think completely comfortable around knowing,like ranma accel world fruit basket ah goddess slayer version really ruin explorer dragon half sorcerer hunter first three season pokemon teen titan go,typically quiet guy stay background get noticed loud people want make stand middle everyone talk comfortable talking,kezia,sigh,need learn lighten guess take thing seriously sometimes fear hurt always end getting hurt know much stock put,dislike people tell chill say something disagreement think telling chill make post mean le something,finding love easy finding right person love definitely easy want find wrong person heart stomped flat one see anyone would,josue long post really moving dislike people act way step mother acting father rough patch taking,trying get window installed virtual pc app run old magic gathering game microprose loved game even though first,surprised see sitting sure noticed pause walked pizza place sure say except apology gave wanted,well relavent sure hilarious crazy,mattylad wut da fuq watch blame making find mattylad tongue
ISTJ,much agree many point made lecture without question globally crisis leadership many educational institution presently exacerbating,could anthropomorphize animal would animal would represent either owl eagle probably owl name accomplishment proud,think one important reason depth topic simply topic generally digress intense debate emotionally draining accomplish almost nothing,rant write nature personality comprehensive entertaining manner think success describing dynamic nature piece cardboard argh,thing represent influence dan rockwell assume,normally listen kind music nonetheless,foray kpop continues,difficult although impossible thing tactlessness control told direct generally tactless although still put foot time seems,unrealistic war occur believe would least one last people standing cicero stated sinew war infinite money well,listen various kpop group soloist tvxq without doubt favourite completely agree changmin thought possibly however way,appliance intended use person reduced physical sensory mental capability lack experience knowledge rice cooker instruction misanthropist,,,extra dividend like girl fallen love clark gable,,friend number colleague told quite funny apparently vary witty sense humour something unexpected describing something dramatic,brian joo let die,end remember word enemy silence friend martin luther king jr,realised roughly hour ago today would valentine day found quote u ewe fall love imagination project nonexistent perfection upon another person one day,realise recently shattered people felt responded stimulus remember one time telling friend mine argument someone,traditionalist personally feel sometimes devastated western society become largely spiritual social cultural political wasteland say want x child house,get dw,ni even thought smarter average bear number member forum esp recall rightly affirm intellectual elitism,thought perplexing thing story seemingly typical guy would keep diary,think friend fairly intelligent one especially smarter however think possible exception one friend general knowledge greater,actor like peter toole say truly great actor brilliantly te lawrence lawrence arabia gregory peck quiet serious persona anthony,rather contrived shooting someone end bound get vote lol,normally tea drinker however lately trying ginseng oolong tea put rolled tea leaf tea infuser let tea sit hot water minute,one annoying thing people tend think worry analyse criticise much upon providing reason sympathise agree arrgh,doubtless many thing improve think positively actively engage people afraid put best foot forward disappointed,uhuh hmmmmm wtf sure told see shall see implicit assertion assumption give f erroneous nonsense,following quote contrived dr samuel johnson know mankind expect le ready call man good man upon easier term formerly,,concerned thinker thinker cautiousness appreciation functionality imagination combine make thinker vivid capacity imagery,emotionally tired largely disillusioned people feel time frustration isolated needing point desiring engage others however frequently feel,,reason matter faith act faith assert thought relation reality gk chesterton u ethe worship negation mr,lurk reason really ixtj although feel like depending context old friend mine uni would,love quotation therefore become enemy tell truth galatian without education horrible deadly danger taking educated people,,empathetic talented discerning heart person excelling avoiding conflict although arguably people ultimately need confronted rather avoided,yes seemed know precisely much naughtiness could get away person family,late dearly loved rex german shepherd kelpie cross lovely creature got shelter apparently treated cruelly original owner regular beating,much agree question factor true dynamic people insofar op concerned think least want need constitute dichotomy,jane eyre alright,,danoz direct product pay credit card get x free also weightloss product complete photograph funny nearly always subject better dressed,feel head say child heart sympathetic idea personally mind child however idea raising child increasingly dysfunctional,oh goodness,quote argumentum ad absurdum proud
ISTJ,accept casual hug relative friend see often throughout year talking real hug significant really instance,sick wish could save know could knew,mood mellow reason slow day haha free whatever,douchebag huh guess define someone manipulates persuades others selfish reason tend immoral rather opposite inconsiderate arrogant,look surprised surely knew coming,people dark soul nothing dark dream people really dark soul nothing dream haruki murakami,repulsive,haha know exactly talking pjay said think would enneagram type well hardly call black white simple matter,time write everything right edit post later list following honesty space faithfulness understanding sure seem basic expand,well awkward finding person looking close entire time wow late already bothering much lost stupid,guy cease amaze much talk respect honor etc though lack pretty much every single one also even quote zack fair correctly signature,amount disrespect op towards people actually trying understand work help ridiculous op seems already mind made,stella kashiwa daisuke minute sure describe,think best thing say much disagree,yeah course given know really whether wanna go careful though,experience well think ridiculous long something actually though word dispenser said work people really,glad thread exists usually keep written digital notebook mine think better put know yeah well,scott pilgrim comic someone taken huge part life turned fictional story relatable although ending much happier haha real,territorial people,wonder completely still understand want hug first place least,sick injustice world hate people take advantage others hate people learn mistake hate able make difference open,got perfect vision circle lens look,medium rare way go best cut,believe normal many reason come perspective normal eh think normal people think way feel way,standard continue grow,f,hm drawing guitar acoustic fingerstyle solo guitar arrangement rarely use electric guitar anymore exercise training martial art longboarding video game cooking,confused felt supposed post thread proper section read various cognitive function concluded thank,ah right look thanks read came conclusion guess edit info,read two type seem never get along though sure mbti say timeless test say result preference,whoop looking tab realized posted wrong section x x,edit wrong section x x read two type seem never get along though sure mbti say timeless test say result,actually quite curious well tested though taking timeless test believe might borderline nf st even possible find hard,blah think better let die though want fun understandable xd could better though peg said,wrong opposite well tricked year keep girl loved safe eh nowhere near interesting thought would seeya,haha description exact opposite lost given give continue give matter care others life ego,favorite fictional character gutts berserk scott pilgrim think book movie lot common wander shadow colossus,welcome skyebird new well haha definitely go take mbti well timeless type test find type enneagram test something else might,game thread eh haha cool cool big pc gamer though game console convenience friend sony nintendo gave microsoft long time ago play bit,met people like never claim rather coming help people seem interested showing clairvoyance supernatural,pff care guy think matter want,something always wanted interested broadly specifically journey creation vocation etc always wanted make difference people,yup really careful close friend okay always keep perspective mind problem anytime well,ah okay know mean hopefully help faced many time experience really depends talking someone,always felt way albeit probably different reason messed stuff happen pretty young age haha everything wrong,hm trying assertive without causing trouble typically type situation try objective possible phrase word carefully cause,suppose dark side quite berserk unrelenting hateful manipulative extremely violent like state help time witness kind,mine first line write second line natural handwriting,also atheist,came ere site happy life think happy reflection probably would discovered mbti
ISTJ,thanks compliment welcome ni may lurk time time,yes experience emotion big thing require analyzation thinking pretty emotionless decided deal understood felt,advice talk try overly emotional ask truth explaining understanding thing help relationship,yeah serious relationship fps dated year year year also bro dad lot,yeah come conclusion still dealt feeling past relationship ended blowing face pretty badly realized said,yeah past day hard would easier could tell something wrong u say got feeling want marry point,hey come across rather odd scenario wanted hear insight think would feeling scenario like opinion appreciated,month connection wild feel like found soul mate believe soul mate,full combination insecurity simultaneously seeing ability defining needing superior others around sense,deleted,nylonneonleon extremely admirable already pieced together flaw young exactly right time awesome brain,speak workaholic job student college still work make feel good like achieve thing desired skill set however,digging guy thing complicated pretty sure met year ago high school year later hung mutual,cheated several time school honestly content matter going use feel like really matter long learn material,people treat people care disrespect give piece mind,definitely get reading best friend seem organized planning oriented responsible seems j first thing stuck,pretty high self esteem mom also suffers lower self esteem get low self esteem see pattern mistake made feel like,lack creative thought one taught think anymore information kid learning skill coming thought thinking deeply,get thing feel weird look event see catalyst even deep know catalyst get habit telling,s want prove awesome also gamer woman used men seeing u inferior gamers show buy stereotype competitive fine,experience commitment problem s overcommitment tried balance many thing handle stress prioritized decided cut,krisena share situation best friend relationship work reason said mutual respect understanding,set one old favorite subject grammar school grammar school want grew teacher enjoy reading,loved lincoln log lego equally video game like rpgs strategy love civilization v might magic also played world warcraft hard core guild back day,exactly feel think s great mean one need someone think like like balance someone different,good money rarely spend money thing need item researched sure useful got first credit card year ago,yeah think worry suppose question though pretty open sexual stuff make lot dirty joke partially flirt,sorry typed confusingly date went back place chill talking couch looked phone texted someone second,hi went first date male met party last month talking online quite lot hang studying grad test,smart le think heh p page get personalitycafe stuff lol,ask want know straightforward try figure make assumption usually lead feeler knowing really mean turn,make think trip took family san francisco lighting would make think went nyc,yes play teach piano living also create arrange music also took ton art class kid love draw paint,actually played wow competitively back day made shadow priest character use lot spell start word mind like mind control mind blast mind flat etc,snowbell yes aware two like reason,personal theory genetically disposed perceive certain way could go either way may likely parent n etc lot family seen,obviously going basic trend p type fluttering around without plan drive complete task see much prevalent male p type,learned thing people dated dated seriously helped comfort zone taught relaxed enjoy life,f thing idea fps le likely put detail together make happen default u lol,redirected thread cognitive function forum instead think belongs wanted see friend thought reposted,noticed direction really important lot ni people kind direction glazed dreamy look though distinguishes si look,sound advice funny thing think sensor like haha mainly extroverted sensor going one want club bar scene enjoy,absolutely every relationship going problem trouble issue even two similar type find something argue point person relationship,glad found useful confirming year always proven true people typed also catch si eye movement,true sometimes short sighted thinking deny get thing done albeit way know get done fast spend lot time,thank word encouragement appreciate give inner peace,youngest still nostalgic think birth order anything,get older get nostalgic turn know old catch looking old facebook picture status looking past several time,one friend actually mad cry big break eventually took day s hate cry take something like big emotional upheaval get,intellectual stimulation able show point view see someone think differently someone help navigate social situation better goal
ISTJ,mean feel emotional atmosphere,explain feeling something tell missing something usually take processing identify emotion observed hour,rckt wrote particularly perceive lack confidence may actually lack challenge s probably involve work get depressed,wife together yr,clean everyday fuck almost clean never might even sure else would maybe,hard time connecting people maybe little confusing semi close acquaintance think think confusing semi close acquaintance,wrapped around axle nurturing,tough say really love son friend wife great friend sometimes think try really hard get along wife maintain friendship,anymore,work,,,dad according mbti test got good intention overbearing manipulative best romantic relationship xnfjs female xnfjs,mom mom dad bottom line big challenge get mom nurturing hug family always awkward,turn mess write stuff like,yep sometimes feel like contract little connection told several time would leave financial security way year,exactly ni although level attraction side sure exactly guess male female friendship get little,,friend yr think close text email sometimes throughout day hang problem rain check often,eye creep ice blue make look like soul keep constant eye contact people sure freak truth absolutely nothing,good lord say hey wanna go grab beer eat sushi steal cop car etc sometime say alright ask phone number coordinate time place ya,,seems catch release thing lot fire email text message back forth time day week nothing crude banter sometimes deep,,runner good luck keeping wink swear running like aphrodisiac something,one first basslines learned ian amazing vox,like marathon road bed intimate good screwing exclusive either usually clear stressed,,like trying new stuff one one people close fell love surfing like skydiving another example see try something ridiculous,ever fear irrational thing like shark swimming pool totally,like cheese cheddar burger stuff usually go white american read eating cracker something like smoked gouda cheese sometimes go,much irony post problem time nice meet xxxxx hi garrett jarrett garrett derrick garrett garrick sure,yea whole chain event blew mind,military sort avenue meet people expected sort conflict would build relationship also kind rule talk,exactly good advice actually well requires lot work part trying get check see way connect,well yea understand relationship thread draining maybe guarded long natural thing realize either giving serious back,school work church type social gathering get sense really seems never really inner circle people know better others,,,character strength judgment thinking thing examining side important aspect jump conclusion rely solid,make lot sense time instance hanging someone suddenly say leave might worry said something wrong,yea kyrie definitely earworm,shadow function basically mean everything reversed instead thinking like would identify would like,iron,spidermoon make sense sort n often test well maybe something yes great deal stress,one inspires way friend s,mother ever stop loving son romantic sense last forever two people bonded connected way allows love likely fade transition,typical analyzing thing people say instance someone say going something particular time xxx would mind run,oh man hate icon actually dread checking voice mail usually bunch people talking irritate shit worse hit clear,think open mouth
ISTJ,known year dated bit last year never got exclusive serious kept touch thing together know pretty well quiet around,texting today wanting nsa sex changed friend feeling alone bored time calling name blame behavior,age concern u healthy active fit typical year old plenty stamen go e e,late male course though extreme one everyone know swears e social chatty extroverted time definitely,late recently dated mid loved quirkiness free spirit sense adventure feeler loving side love travel love animal like,drink heavily self medicates think man job role take care every need emotionally financially see therapist though best guess root,amazing described month relationship past week going text since ended relationship love help think place,update ended relationship week ago event mentioned thread post wow never seen much evil hatefulness threat since said,update ended relationship week ago event mentioned thread post wow never seen much evil hatefulness threat since said,male need connection woman sex never one night stand sex equal relationship buddy make fun,understood appreciate feedback,quote caught attention never good eye contact love gaze woman eye especially passionate romantic moment would look away tell intense,agreed never asked problem knowing researching s let talk listened yes feel like always trying guess,behavior cool done stuff like past weekend even said beginning need taking care deserves,fixer though fix try change point flaw pick keep quite listen noticed give need,exactly said weekend initiated break conversation initiated conversation unrealistic financial request made also told,since posted male mid late kid divorced year one serious relationship year dated another,read since posted relationship work ended started dating another great first started,describe especially sex part,spot exactly kept talking tried draw conclusion solve problem stating would say lamenting feeling need say,,well said thank want wait end month really long move forward dating life feel worth getting life,happy alone spend lot time alone enjoy clue drawing conclusion let agree need reply anymore deal,thanks man great advice wish would thought note self,okay advise respond,yes easily hurt struggle hurt passive aggressive week agreed pause feeling hurt upset whole crisis,huh,backstory starting date woman dated,finaly email hi insert name hope insert daughter name well thinking money loaned intention pay back,thanks care resolving closing feel good,checked linkedin profile grin giggle loan gave bridge gap lower paying job higher paying job assumed higher paying job,bite relationship kind vague question emotionally distant shower small gift sexaully warned animal,usa thought would pay could would take small claim court answer would one reason kept email documentation,took comment dug rewrote reply realy care friendship though breakup amicable little interest friendship really want,listening appreciate feedback,boomonster pretty much spot feel want stop thinking last thing u want close making big deal,kudos read book wish e type would reead book,well said recent minute ago called extrovert yet social everyone think extrovert love new found,use feel way read book quiet power introvert world stop talking quiet power introvert world stop talking susan,using suggestion drafted reply last email reply subject sent reply couple day loaned money used word,think want pay back full one payment pay back overtime much tell going pay back,amazing advice exactly looking approach communicate going direct say something like hope well,well said female friend hears folk social circle see differently though love quality,male best female friend get along well talked last night feeling people drive nut especially want yes,type money spends wasted away family money wasted away money made good job met claim gave friend family help,ex gf always money issue entire month dated said would never ask money broke unrelated issue month later came back,volunteering meetup group find people meetup,exatly recommend brief week dating jealous insecure type begin ever blame ex husband stalker,invading great advice ex gf reading reply probably mature one understanding nf woman recently started,year old male suffered general anxiety disorder social anxiety disorder life quoted disorder really tlike word gotten worse
ISTJ,near sighted well usual eyeglass prescription built range diopter adjustment camera go quite enough added canon,kinda boat got consistently sharper pic primary reason upgraded felt damned small big mitt,would nice know know really screw unsure wink knowns well good better known unknown,avid reader non fiction since high school long time ago primarily two high school english teacher interpret,agree everything fellow s posted want emphasize importance understanding usually communicate literal fashion typically say exactly,help think,thanks latest path projection shifting westward atlanta western tennessee tropical storm force wind good u charlotte,soooo true variety overrated one always order thing specific restaurant try something else tried others,get used multiple monitor difficult go back work consider laptop nearly useless use internal display traveling,impossible overstate immensely popular elton john high school year even blatant enthusiasm extend u preferred music,,could interesting tuesday around last time major hurricane came far inland hugo totally devastated area especially tree got lot,surprisingly popular came still fun listen every,great debut album started hating eddie taking valerie away wink laughing,hunting deal x display personal desktop home really commodity yet justify price single k would cost le,dying one dell quad monitor k monitor four input sent p quadrant popped full screen home office,exactly containing bottling suppressing bullshit word people like use normal healthy effusively display emotion far,definitely love song,officially orbison solo track travelling wilbury cohort tom petty jeff lynne co wrote performed,late pete townshend project little help friend,moody,one crossed well beyond motown crowd,little power pop crenshaw initially gifted song robert gordon recorded version bit vibe crenshaw recorded pop ish version,peter gabriel era genesis first genesis album phil collins mic,one possibly biggest pet peeve mine people damned used communicating people constantly talk code doublespeak innuendo find difficult,back serious music wink cut project abandoned rock opera project lifehouse pared create masterpiece album next first released,lightweight stuff sure still fun hear,another catchy one hit wonder,know life think ever thought badly suspect known year say mbti dichotomy j p difference,week yet one week definitely looking forward three day holiday weekend,problem right tongue kidding sort laughing seriously never able embrace apple company product original hard drive based,change newness ever scare stress possibility losing existing navigational waypoints greatly change general bother sudden sweeping,messrs becker fagan steady stream album fm rock radio play throughout decade definitely liked music got special place heart pushing recording,nice see back morning,think great example friend probably caught totally guard response made innocent non judgemental statement fact read something,actually like three dog night cover better one pretty good,,next quadrophenia bruce springsteen born run nirvana nevermind pink floyd dark side moon pink floyd wall pink floyd wish jethro,alvin lee company,mr zevon linda ronstadt jennifer warnes backup vocal,certainly picking posting actually got quite high batting average posting song like besides dislike much played,,yes indeed much listened back day fragile remains one,grand funk railroad sorta straddled fence genre early one personal favorite time immensely popular none le several song grown,would sj motivated respond online test result somewhat dubious best even official test result hand sj responds anything higher many,right getting ready install diagonal k direct view led tile video wall customer new showcase multipurpose room originally size p,cloud near beginning eclipse nothing like happycampr jacksonville straight camera cropping color correction slight exposure,think bit older really dead head gd song like,another one hit wonder,airplane reincarnated starship
